2025-06-28 03:32:57 : Battery: 89%, Charging: True
2025-06-28 03:33:27 : Battery: 89%, Charging: True
2025-06-28 03:33:57 : Battery: 89%, Charging: True
2025-06-28 03:34:27 : Battery: 89%, Charging: True
2025-06-28 03:34:57 : Battery: 89%, Charging: True
2025-06-28 03:35:27 : Battery: 90%, Charging: True
2025-06-28 03:35:57 : Battery: 90%, Charging: True
2025-06-28 03:36:27 : Battery: 90%, Charging: True
2025-06-28 03:36:57 : Battery: 90%, Charging: True
2025-06-28 03:37:27 : Battery: 90%, Charging: True
2025-06-28 03:37:57 : Battery: 90%, Charging: True
2025-06-28 03:38:27 : Battery: 91%, Charging: True
2025-06-28 03:38:57 : Battery: 91%, Charging: True
2025-06-28 03:39:27 : Battery: 91%, Charging: True
2025-06-28 03:39:57 : Battery: 91%, Charging: True
2025-06-28 03:40:27 : Battery: 91%, Charging: True
2025-06-28 03:40:57 : Battery: 91%, Charging: True
2025-06-28 03:41:27 : Battery: 91%, Charging: True
2025-06-28 03:41:57 : Battery: 91%, Charging: True
2025-06-28 03:42:27 : Battery: 92%, Charging: True
2025-06-28 03:42:57 : Battery: 92%, Charging: True
2025-06-28 03:43:27 : Battery: 92%, Charging: True
2025-06-28 03:43:57 : Battery: 92%, Charging: True
2025-06-28 03:44:27 : Battery: 92%, Charging: True
2025-06-28 03:44:57 : Battery: 92%, Charging: True
2025-06-28 03:45:27 : Battery: 92%, Charging: True
2025-06-28 03:45:57 : Battery: 93%, Charging: True
2025-06-28 03:46:27 : Battery: 93%, Charging: True
2025-06-28 03:46:57 : Battery: 93%, Charging: True
2025-06-28 03:47:27 : Battery: 93%, Charging: True
2025-06-28 03:47:57 : Battery: 93%, Charging: True
2025-06-28 03:48:27 : Battery: 93%, Charging: True
2025-06-28 03:48:57 : Battery: 93%, Charging: True
2025-06-28 03:49:27 : Battery: 93%, Charging: True
2025-06-28 03:49:57 : Battery: 93%, Charging: True
2025-06-28 03:50:27 : Battery: 94%, Charging: True
2025-06-28 03:50:57 : Battery: 94%, Charging: True
2025-06-28 03:51:27 : Battery: 94%, Charging: True
2025-06-28 03:51:57 : Battery: 94%, Charging: True
2025-06-28 03:52:27 : Battery: 94%, Charging: True
2025-06-28 03:52:57 : Battery: 94%, Charging: True
2025-06-28 03:53:27 : Battery: 94%, Charging: True
2025-06-28 03:53:57 : Battery: 94%, Charging: True
2025-06-28 03:54:28 : Battery: 94%, Charging: True
2025-06-28 03:54:58 : Battery: 94%, Charging: True
2025-06-28 03:55:28 : Battery: 95%, Charging: True
2025-06-28 03:55:28 : ALERT: Battery at 95%. Please unplug your charger for battery health.
2025-06-28 03:55:58 : Battery: 95%, Charging: True
2025-06-28 03:55:58 : ALERT: Battery at 95%. Please unplug your charger for battery health.
2025-06-28 06:19:21 : Battery monitor started
2025-06-28 06:19:22 : Battery: 35%, Charging: True
2025-06-28 06:19:52 : Battery: 36%, Charging: True
2025-06-28 06:20:22 : Battery: 37%, Charging: True
2025-06-28 06:20:52 : Battery: 38%, Charging: True
2025-06-28 06:21:22 : Battery: 39%, Charging: True
2025-06-28 06:21:52 : Battery: 40%, Charging: True
2025-06-28 06:22:22 : Battery: 41%, Charging: True
2025-06-28 06:22:52 : Battery: 41%, Charging: True
2025-06-28 06:23:22 : Battery: 42%, Charging: True
2025-06-28 06:23:52 : Battery: 43%, Charging: True
2025-06-28 06:24:22 : Battery: 44%, Charging: True
2025-06-28 06:24:52 : Battery: 45%, Charging: True
2025-06-28 06:25:22 : Battery: 46%, Charging: True
2025-06-28 06:25:52 : Battery: 47%, Charging: True
2025-06-28 06:26:22 : Battery: 48%, Charging: True
2025-06-28 06:26:52 : Battery: 48%, Charging: True
2025-06-28 06:27:22 : Battery: 49%, Charging: True
2025-06-28 06:27:52 : Battery: 50%, Charging: True
2025-06-28 06:28:22 : Battery: 51%, Charging: True
2025-06-28 06:28:52 : Battery: 52%, Charging: True
2025-06-28 06:29:22 : Battery: 52%, Charging: True
2025-06-28 06:29:52 : Battery: 53%, Charging: True
2025-06-28 06:30:22 : Battery: 54%, Charging: True
2025-06-28 06:30:52 : Battery: 55%, Charging: True
2025-06-28 06:31:22 : Battery: 55%, Charging: True
2025-06-28 06:31:52 : Battery: 56%, Charging: True
2025-06-28 06:32:22 : Battery: 57%, Charging: True
2025-06-28 06:32:52 : Battery: 57%, Charging: True
2025-06-28 06:33:22 : Battery: 58%, Charging: True
2025-06-28 06:33:52 : Battery: 59%, Charging: True
2025-06-28 06:34:22 : Battery: 59%, Charging: True
2025-06-28 06:34:52 : Battery: 60%, Charging: True
2025-06-28 06:35:22 : Battery: 61%, Charging: True
2025-06-28 06:35:52 : Battery: 61%, Charging: True
2025-06-28 06:36:22 : Battery: 62%, Charging: True
2025-06-28 06:36:52 : Battery: 63%, Charging: True
2025-06-28 06:37:22 : Battery: 63%, Charging: True
2025-06-28 06:37:52 : Battery: 64%, Charging: True
2025-06-28 06:38:22 : Battery: 64%, Charging: True
2025-06-28 06:38:52 : Battery: 65%, Charging: True
2025-06-28 06:39:22 : Battery: 66%, Charging: True
2025-06-28 06:39:52 : Battery: 66%, Charging: True
2025-06-28 06:40:22 : Battery: 67%, Charging: True
2025-06-28 06:40:52 : Battery: 67%, Charging: True
2025-06-28 06:41:22 : Battery: 68%, Charging: True
2025-06-28 06:41:52 : Battery: 68%, Charging: True
2025-06-28 06:42:22 : Battery: 69%, Charging: True
2025-06-28 06:42:52 : Battery: 69%, Charging: True
2025-06-28 06:43:22 : Battery: 70%, Charging: True
2025-06-28 06:43:52 : Battery: 70%, Charging: True
2025-06-28 06:44:22 : Battery: 71%, Charging: True
2025-06-28 06:44:52 : Battery: 71%, Charging: True
2025-06-28 06:45:22 : Battery: 72%, Charging: True
2025-06-28 06:45:52 : Battery: 72%, Charging: True
2025-06-28 06:46:23 : Battery: 73%, Charging: True
2025-06-28 06:46:53 : Battery: 73%, Charging: True
2025-06-28 06:47:22 : Battery: 74%, Charging: True
2025-06-28 06:47:52 : Battery: 74%, Charging: True
2025-06-28 06:48:22 : Battery: 75%, Charging: True
2025-06-28 06:48:53 : Battery: 75%, Charging: True
2025-06-28 06:49:23 : Battery: 75%, Charging: True
2025-06-28 06:49:53 : Battery: 76%, Charging: True
2025-06-28 06:50:23 : Battery: 76%, Charging: True
2025-06-28 06:50:53 : Battery: 77%, Charging: True
2025-06-28 06:51:23 : Battery: 77%, Charging: True
2025-06-28 06:51:53 : Battery: 77%, Charging: True
2025-06-28 06:52:23 : Battery: 78%, Charging: True
2025-06-28 06:52:53 : Battery: 78%, Charging: True
2025-06-28 06:53:23 : Battery: 79%, Charging: True
2025-06-28 06:53:53 : Battery: 79%, Charging: True
2025-06-28 06:54:23 : Battery: 79%, Charging: True
2025-06-28 06:54:53 : Battery: 80%, Charging: True
2025-06-28 06:55:23 : Battery: 80%, Charging: True
2025-06-28 06:55:53 : Battery: 80%, Charging: True
2025-06-28 06:56:23 : Battery: 81%, Charging: True
2025-06-28 06:56:53 : Battery: 81%, Charging: True
2025-06-28 06:57:23 : Battery: 81%, Charging: True
2025-06-28 06:57:53 : Battery: 82%, Charging: True
2025-06-28 06:58:23 : Battery: 82%, Charging: True
2025-06-28 06:58:53 : Battery: 82%, Charging: True
2025-06-28 06:59:23 : Battery: 83%, Charging: True
2025-06-28 06:59:53 : Battery: 83%, Charging: True
2025-06-28 07:00:23 : Battery: 83%, Charging: True
2025-06-28 07:00:53 : Battery: 83%, Charging: True
2025-06-28 07:01:23 : Battery: 84%, Charging: True
2025-06-28 07:01:53 : Battery: 84%, Charging: True
2025-06-28 07:02:23 : Battery: 84%, Charging: True
2025-06-28 07:02:53 : Battery: 85%, Charging: True
2025-06-28 07:03:23 : Battery: 85%, Charging: True
2025-06-28 07:03:53 : Battery: 85%, Charging: True
2025-06-28 07:04:23 : Battery: 85%, Charging: True
2025-06-28 07:04:53 : Battery: 86%, Charging: True
2025-06-28 07:05:23 : Battery: 86%, Charging: True
2025-06-28 07:05:53 : Battery: 86%, Charging: True
2025-06-28 07:06:23 : Battery: 86%, Charging: True
2025-06-28 07:06:53 : Battery: 87%, Charging: True
2025-06-28 07:07:23 : Battery: 87%, Charging: True
2025-06-28 07:07:53 : Battery: 87%, Charging: True
2025-06-28 07:08:23 : Battery: 87%, Charging: True
2025-06-28 07:08:53 : Battery: 87%, Charging: True
2025-06-28 07:09:23 : Battery: 88%, Charging: True
2025-06-28 07:09:53 : Battery: 88%, Charging: True
2025-06-28 07:10:23 : Battery: 88%, Charging: True
2025-06-28 07:10:53 : Battery: 88%, Charging: True
2025-06-28 07:11:23 : Battery: 89%, Charging: True
2025-06-28 07:11:53 : Battery: 89%, Charging: True
2025-06-28 07:12:23 : Battery: 89%, Charging: True
2025-06-28 07:12:53 : Battery: 89%, Charging: True
2025-06-28 07:13:23 : Battery: 89%, Charging: True
